London,,,,,,,,,,,,
E12000007,,,,,,,,,,,,
,,Q3,,"250,000 ",,"361,000 ",,"355,000 ",,"268,000 ",,"424,000 "
,,Q4,,"255,000 ",,"347,000 ",,"341,000 ",,"259,000 ",,"407,000 "
,2008,Q1,,"259,000 ",,"350,000 ",,"345,000 ",,"255,000 ",,"418,000 "
,,Q2,,"293,000 ",,"359,000 ",,"355,000 ",,"271,000 ",,"422,000 "
,,Q3,,"261,000 ",,"366,000 ",,"360,000 ",,"272,000 ",,"426,000 "
,,Q4,,"243,000 ",,"351,000 ",,"346,000 ",,"252,000 ",,"417,000 "
,2009,Q1,,"249,000 ",,"330,000 ",,"327,000 ",,"234,000 ",,"410,000 "
,,Q2,,"204,000 ",,"330,000 ",,"323,000 ",,"243,000 ",,"392,000 "
,,Q3,,"205,000 ",,"361,000 ",,"352,000 ",,"267,000 ",,"427,000 "
,,Q4,,"229,000 ",,"357,000 ",,"350,000 ",,"273,000 ",,"422,000 "
,2010,Q1,,"234,000 ",,"385,000 ",,"380,000 ",,"290,000 ",,"455,000 "
,,Q2,,"264,000 ",,"388,000 ",,"381,000 ",,"297,000 ",,"456,000 "
,,Q3,,"272,000 ",,"402,000 ",,"397,000 ",,"302,000 ",,"478,000 "
,,Q4,,"253,000 ",,"388,000 ",,"380,000 ",,"285,000 ",,"464,000 "
,2011,Q1,,"257,000 ",,"409,000 ",,"401,000 ",,"296,000 ",,"491,000 "
,,Q2,,"295,000 ",,"398,000 ",,"396,000 ",,"303,000 ",,"481,000 "
,,Q3,,"301,000 ",,"411,000 ",,"414,000 ",,"318,000 ",,"491,000 "
,,Q4,,"349,000 ",,"390,000 ",,"395,000 ",,"298,000 ",,"476,000 "
,2012,Q1,,"327,000 ",,"381,000 ",,"384,000 ",,"296,000 ",,"469,000 "
,,Q2,,"335,000 ",,"419,000 ",,"422,000 ",,"331,000 ",,"494,000 "
,,Q3,,"313,000 ",,"426,000 ",,"429,000 ",,"331,000 ",,"513,000 "
,,Q4,,"328,000 ",,"408,000 ",,"407,000 ",,"313,000 ",,"496,000 "
,2013,Q1,,"357,000 ",,"399,000 ",,"405,000 ",,"310,000 ",,"502,000 "
,,Q2,,"384,000 ",,"421,000 ",,"427,000 ",,"342,000 ",,"523,000 "
,,Q3,,"341,000 ",,"446,000 ",,"449,000 ",,"346,000 ",,"560,000 "
,,Q4,,"365,000 ",,"429,000 ",,"430,000 ",,"334,000 ",,"536,000 "
,2014,Q1,,"423,000 ",,"447,000 ",,"452,000 ",,"347,000 ",,"570,000 "
,,Q2,,"511,000 ",,"476,000 ",,"479,000 ",,"374,000 ",,"594,000 "
,,Q3,,"441,000 ",,"497,000 ",,"490,000 ",,"376,000 ",,"614,000 "
,,Q4,,"467,000 ",,"458,000 ",,"457,000 ",,"356,000 ",,"573,000 "
,2015,Q1,,"477,000 ",,"476,000 ",,"477,000 ",,"361,000 ",,"619,000 "
,,Q2,,"527,000 ",,"495,000 ",,"499,000 ",,"376,000 ",,"636,000 "
,,Q3,,"459,000 ",,"555,000 ",,"547,000 ",,"398,000 ",,"696,000 "
,,Q4,,"472,000 ",,"545,000 ",,"533,000 ",,"395,000 ",,"676,000 "
,2016,Q1,,"454,000 ",,"573,000 ",,"561,000 ",,"414,000 ",,"703,000 "
,,Q2,,"462,000 ",,"514,000 ",,"508,000 ",,"404,000 ",,"671,000 "
,,Q3,,"458,000 ",,"542,000 ",,"535,000 ",,"417,000 ",,"689,000 "
,,Q4,,"499,000 ",,"537,000 ",,"532,000 ",,"420,000 ",,"678,000 "
,2017,Q1,,"448,000 ",,"541,000 ",,"526,000 ",,"412,000 ",,"677,000 "
,,Q2,,"488,000 ",,"554,000 ",,"543,000 ",,"431,000 ",,"690,000 "
,,Q3,,"453,000 ",,"562,000 ",,"548,000 ",,"429,000 ",,"694,000 "
,,Q4,,"501,000 ",,"531,000 ",,"526,000 ",,"418,000 ",,"664,000 "
,2018,Q1,,"452,000 ",,"545,000 ",,"530,000 ",,"420,000 ",,"682,000 "
,,Q2,,"495,000 ",,"550,000 ",,"541,000 ",,"436,000 ",,"688,000 "
,,Q3,,"479,000 ",,"565,000 ",,"553,000 ",,"436,000 ",,"715,000 "
,,Q4,,"483,000 ",,"537,000 ",,"528,000 ",,"422,000 ",,"681,000 "
,2019,Q1,,"460,000 ",,"533,000 ",,"520,000 ",,"420,000 ",,"670,000 "
,,Q2,,"482,000 ",,"546,000 ",,"534,000 ",,"431,000 ",,"691,000 "
,,Q3,,"463,000 ",,"567,000 ",,"550,000 ",,"429,000 ",,"719,000 "
,,Q4,,"477,000 ",,"562,000 ",,"549,000 ",,"433,000 ",,"707,000 "
,2020,Q1,,"473,000 ",,"567,000 ",,"551,000 ",,"436,000 ",,"724,000 "
,,Q2,,"447,000 ",,"559,000 ",,"540,000 ",,"433,000 ",,"719,000 "
,,Q3,,"483,000 ",,"633,000 ",,"607,000 ",,"481,000 ",,"785,000 "
,,Q4,,"482,000 ",,"627,000 ",,"603,000 ",,"478,000 ",,"772,000 "
,2021,Q1,,"458,000 ",,"615,000 ",,"594,000 ",,"476,000 ",,"740,000 "
,,Q2,,"469,000 ",,"625,000 ",,"604,000 ",,"478,000 ",,"770,000 "
,,Q3,,"419,000 ",,"642,000 ",,"609,000 ",,"449,000 ",,"863,000 "
,,Q4,,"457,000 ",,"632,000 ",,"604,000 ",,"449,000 ",,"865,000 "
,2022,Q1,,"464,000 ",,"641,000 ",,"614,000 ",,"470,000 ",,"852,000 "
,,Q2,,"471,000 ",,"650,000 ",,"620,000 ",,"478,000 ",,"858,000 "
,,Q3,,"449,000 ",,"674,000 ",,"638,000 ",,"490,000 ",,"877,000 "
,,Q4,,"426,000 ",,"616,000 ",,"582,000 ",,"461,000 ",,"798,000 "
,2023,Q1,,"402,000 ",,"606,000 ",,"563,000 ",,"444,000 ",,"791,000 "
,,Q2,,"392,000 ",,"618,000 ",,"591,000 ",,"462,000 ",,"810,000 "
,,Q3,,"377,000 ",,"652,000 ",,"626,000 ",,"478,000 ",,"849,000 "
,,Q4,,"395,000 ",,"601,000 ",,"582,000 ",,"462,000 ",,"783,000 "
